"","var_dhs","zero","one","label_dhs","number_records","number_one","number_zero","number_one_noNA","number_zero_noNA"
"1","v013","25-29 , 30-34 , 35-39 , 40-44 , 45-49","15-19 , 20-24","Age",13220,5912,7308,5819,7226
"2","v025","urban","rural","Urban/ 
 rural",13220,10349,2871,10195,2850
"3","v130","anglican , catholic , ccap , no religion , other , other christian , seventh day advent./baptist","muslim","Religion",13216,1888,11328,1820,11225
"4","v151","female","male","Househead",13220,9738,3482,9618,3427
"5","v155","able to read only parts of sentence , cannot read at all , no card with required language","able to read whole sentence","Literacy",13210,6620,6590,6585,6460
"6","v158","less than once a week , not at all","almost every day , at least once a week","Media access",13210,7047,6163,6997,6048
"7","v384a","no","yes","Family 
 planning 
 on media",13220,9171,4049,9116,3929
"8","v531","0 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 , 28 , 29 , 30 , 31 , 32 , 34 , 35 , 36 , 37 , 44 , 97 , 98","8 , 9 , 10 , 11 , 12 , 13 , 14 , 15","First 
 sex < 16 ",13211,4960,8251,4896,8149
"9","v731","no","currently working , in the past year","Currently 
  working",13219,8080,5139,7999,5046
"10","v744b","no","yes","Wife beating 
 justified ",13218,4831,8387,4767,8278
"11","v502","currently married , formerly married","never married","Marital status",13220,2284,10936,2233,10812
"12","v754jp","no","don't know , get aids from mosquito bites","False 
 beliefs AIDS",13220,4293,8927,4137,8908
"13","v781","no","yes","Ever 
 tested HIV",13079,1179,11900,1177,11868
