"","var_dhs","zero","one","label_dhs","number_records","number_one","number_zero","number_one_noNA","number_zero_noNA"
"1","v013","25-29 , 30-34 , 35-39 , 40-44 , 45-49","15-19 , 20-24","Age",23020,9432,13588,9432,13588
"2","v025","urban","rural","Urban/ 
 rural",23020,19952,3068,19952,3068
"3","v130","1 , 2 , 3 , 4 , 5 , 7 , 96 , 99","6","Religion",23020,2530,20490,2530,20490
"4","v151","female","male","Househead",23020,16770,6250,16770,6250
"5","v155","0 , 1 , 3 , 4 , 9","2","Literacy",23020,13475,9545,13475,9545
"6","v158","0 , 1 , 3 , 9","2","Media access",23020,3804,19216,3804,19216
"7","v384a","0 , 9","1","Family 
 planning 
 on media",23020,13705,9315,13705,9315
"8","v531","0 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 , 28 , 29 , 30 , 31 , 32 , 33 , 34 , 35 , 40 , 97 , 98 , 99","8 , 9 , 10 , 11 , 12 , 13 , 14 , 15","First 
 sex < 16 ",23020,7162,15858,7162,15858
"9","v731","2 , 3 , 9","0 , 1","Currently 
  working",23020,9956,13064,9956,13064
"10","v744b","0","1","Wife beating 
 justified ",23020,2893,20127,2893,20127
"11","v502","currently married , formerly married","never married","Marital status",23020,4526,18494,4526,18494
"12","v754jp","0","1 , 8 , 9","False 
 beliefs AIDS",23020,6416,16604,6416,16604
"13","v781","0 , 9","1","Ever 
 tested HIV",23020,17046,5974,17046,5974
